attention_concentration,attention_entropy,attention_model,attention_normalized_entropy,head,model,n_strings,scratchpad_mode,seed,task,to_cls,to_prev_bit,to_prev_state,to_self,uniform_expected_mass
0.10174629609832277,2.5717335915095973,random_init,0.8982537039016772,0,cot_true,250,true,2,mod3,0.260644455613259,0.06225026252411726,0.03424024083324903,0.0736574564071042,0.09530478356955427
0.04982043162199988,2.674595472128749,random_init,0.9501795683780001,1,cot_true,250,true,2,mod3,0.10668713274368953,0.0679822590162061,0.06945776325588854,0.09946586936311393,0.09530478356955427
0.3539660916722903,1.877095210887319,trained,0.6460339083277097,0,cot_pad,250,pad,2,mod3,0.027648133138154597,0.12923444496278316,0.04336185729329176,0.10848259204897766,0.09530478356955427
0.3579019361261816,1.845500543402878,trained,0.6420980638738185,1,cot_pad,250,pad,2,mod3,0.10620699953245585,0.11802477677572558,0.0006975884989892638,0.1279938840022893,0.09530478356955427
0.09015077751150603,2.5989057788723935,random_init,0.9098492224884939,0,cot_pad,250,pad,2,mod3,0.2534484160841274,0.0594741759707658,0.04047216420621416,0.07120513695557834,0.09530478356955427
0.031335307135143466,2.728042578610228,random_init,0.9686646928648567,1,cot_pad,250,pad,2,mod3,0.08713218955578358,0.05168928504091404,0.09913564845183385,0.08284223943527505,0.09530478356955427
0.7620268042027465,0.64442548027149,trained,0.23797319579725346,0,cot_true,250,true,3,mod3,0.042231362975732614,0.06066155018723443,0.5503642759005427,0.11460081180906173,0.09730680815927954
0.6724120704026936,0.8380261719492623,trained,0.3275879295973065,1,cot_true,250,true,3,mod3,0.06476239354188658,0.027351597896418663,0.6387628398058371,0.07602311112703788,0.09730680815927954
0.053149492055313975,2.6472046692217495,random_init,0.9468505079446861,0,cot_true,250,true,3,mod3,0.08825568656490572,0.09733783455148491,0.05025644387265445,0.11597551242715755,0.09730680815927954
0.06081036323492865,2.625169578139941,random_init,0.9391896367650713,1,cot_true,250,true,3,mod3,0.098987664140674,0.05262525477411069,0.11119263059265305,0.06261809252371842,0.09730680815927954
0.42521807048291316,1.6810762830790358,trained,0.5747819295170868,0,cot_pad,250,pad,3,mod3,0.049951539804636284,0.1922617433063177,0.0460783531661892,0.058881827645698714,0.09730680815927954
0.3324557874390807,1.8372432540548864,trained,0.6675442125609193,1,cot_pad,250,pad,3,mod3,0.04143646499710202,0.1241797890871083,0.01595075377418275,0.12602773380666887,0.09730680815927954
0.04819218668317292,2.65976799225046,random_init,0.9518078133168271,0,cot_pad,250,pad,3,mod3,0.08260439817735739,0.09108983990534875,0.060897155771441946,0.10836339822756438,0.09730680815927954
0.055548835300194874,2.648184938147908,random_init,0.9444511646998051,1,cot_pad,250,pad,3,mod3,0.09548421098413971,0.05853981672331179,0.1109183555307772,0.06469262668887447,0.09730680815927954
0.5654404443292856,1.1681405686009603,trained,0.43455955567071436,0,cot_true,250,true,4,mod3,0.058514313137442486,0.07011610539615612,0.5116791691910201,0.14479767719213524,0.09528793310828218
0.6297264893827087,0.991117461593811,trained,0.37027351061729136,1,cot_true,250,true,4,mod3,0.04945680032855985,0.018577704199862738,0.6417720034755489,0.10344113158551267,0.09528793310828218
0.026209398696870584,2.7546147679097372,random_init,0.9737906013031296,0,cot_true,250,true,4,mod3,0.08347483433208594,0.06072169142444768,0.0773255727903238,0.1005311245272789,0.09528793310828218
0.06592954953618196,2.650175175534121,random_init,0.934070450463818,1,cot_true,250,true,4,mod3,0.13820560583235506,0.056891366671689925,0.07129626668846378,0.09854339390805983,0.09528793310828218
0.5563160864167002,1.3834541811249295,trained,0.44368391358329984,0,cot_pad,250,pad,4,mod3,0.0557886369060385,0.1135457994156855,0.029353060713969065,0.08963276225439792,0.09528793310828218
0.49647596721992654,1.4794828404978084,trained,0.5035240327800735,1,cot_pad,250,pad,4,mod3,0.10301230814413122,0.1690298695179005,0.0023423011410639927,0.03223068406437139,0.09528793310828218
0.019381578512408196,2.774720533287176,random_init,0.9806184214875918,0,cot_pad,250,pad,4,mod3,0.09526657073880399,0.07052147929364858,0.0592896951327826,0.11121687325322566,0.09528793310828218
0.05573593469405786,2.679900220603665,random_init,0.9442640653059422,1,cot_pad,250,pad,4,mod3,0.1118218626395068,0.041745370346821714,0.10233135700697268,0.08077644678877197,0.09528793310828218
