geometry_model,metric,model,n_points,n_states,n_strings,plot_prefix,scratchpad_mode,seed,task,value
random_init,kmeans_nmi_true_state,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.0011015329587896552
random_init,kmeans_purity_true_state,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.5194581649453675
random_init,kmeans_silhouette,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,0.5135998725891113
random_init,within_state_distance,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,14.973718643188477
random_init,between_state_distance,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,15.090897560119629
random_init,between_within_ratio,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,1.0078256390228393
random_init,umap_available_and_plotted,cot_true,13362,2,800,parity_cot_true_random_init_seed1,true,1,parity,1.0
trained,pca_explained_variance_pc1,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.6358916163444519
trained,pca_explained_variance_pc2,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.10139791667461395
trained,pca_explained_variance_sum2,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.737289547920227
trained,kmeans_ari_true_state,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.08225699545369246
trained,kmeans_nmi_true_state,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.19509624762827257
trained,kmeans_purity_true_state,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.6436162251160006
trained,kmeans_silhouette,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,0.6640995144844055
trained,within_state_distance,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,11.332425117492676
trained,between_state_distance,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,13.53309154510498
trained,between_within_ratio,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,1.1941920114005753
trained,umap_available_and_plotted,cot_pad,13362,2,800,parity_cot_pad_trained_seed1,pad,1,parity,1.0
random_init,pca_explained_variance_pc1,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.6016213297843933
random_init,pca_explained_variance_pc2,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.12944263219833374
random_init,pca_explained_variance_sum2,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.731063961982727
random_init,kmeans_ari_true_state,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.0014397591947136988
random_init,kmeans_nmi_true_state,cot_pad,13362,2,800,parity_cot_pad_random_init_seed1,pad,1,parity,0.0011015329587896552
